Data Table for Daily Death Trends - California
Date generated: Tue Nov 30 2021 18:09:39 GMT-0700 (Mountain Standard Time)
State,Date,New Deaths,Total Doses Administered
California,Oct  6 2020,26,N/A
California,Oct  5 2020,21,N/A
California,Oct  4 2020,67,N/A
California,Oct  3 2020,14,N/A
California,Oct  2 2020,161,N/A
California,Oct  1 2020,100,N/A
California,Sep 30 2020,195,N/A
California,Sep 29 2020,11,N/A
California,Sep 28 2020,19,N/A
California,Sep 27 2020,71,N/A
California,Sep 26 2020,105,N/A
California,Sep 25 2020,102,N/A
California,Sep 24 2020,116,N/A
California,Sep 23 2020,138,N/A
California,Sep 22 2020,27,N/A
California,Sep 21 2020,25,N/A
California,Sep 20 2020,86,N/A
California,Sep 19 2020,135,N/A
California,Sep 18 2020,110,N/A
California,Sep 17 2020,106,N/A
California,Sep 16 2020,151,N/A
California,Sep 15 2020,49,N/A
California,Sep 14 2020,1,N/A
California,Sep 13 2020,128,N/A
California,Sep 12 2020,119,N/A
California,Sep 11 2020,116,N/A
California,Sep 10 2020,120,N/A
California,Sep  9 2020,80,N/A
California,Sep  8 2020,51,N/A
California,Sep  7 2020,4,N/A
California,Sep  6 2020,123,N/A
California,Sep  5 2020,177,N/A
California,Sep  4 2020,172,N/A
California,Sep  3 2020,167,N/A
California,Sep  2 2020,158,N/A
California,Sep  1 2020,38,N/A
California,Aug 31 2020,12,N/A
California,Aug 30 2020,176,N/A
California,Aug 29 2020,108,N/A
California,Aug 28 2020,165,N/A
California,Aug 27 2020,138,N/A
California,Aug 26 2020,155,N/A
California,Aug 25 2020,48,N/A
California,Aug 24 2020,10,N/A
California,Aug 23 2020,204,N/A
California,Aug 22 2020,151,N/A
California,Aug 21 2020,124,N/A
California,Aug 20 2020,165,N/A
California,Aug 19 2020,156,N/A
California,Aug 18 2020,31,N/A
California,Aug 17 2020,10,N/A
California,Aug 16 2020,110,N/A
California,Aug 15 2020,163,N/A
California,Aug 14 2020,165,N/A
California,Aug 13 2020,175,N/A
California,Aug 12 2020,219,N/A
California,Aug 11 2020,25,N/A
California,Aug 10 2020,74,N/A
California,Aug  9 2020,191,N/A
California,Aug  8 2020,175,N/A
California,Aug  7 2020,147,N/A
California,Aug  6 2020,140,N/A
California,Aug  5 2020,171,N/A
California,Aug  4 2020,23,N/A
California,Aug  3 2020,74,N/A
California,Aug  2 2020,157,N/A
California,Aug  1 2020,156,N/A
California,Jul 31 2020,188,N/A
California,Jul 30 2020,235,N/A
California,Jul 29 2020,80,N/A
California,Jul 28 2020,24,N/A
California,Jul 27 2020,30,N/A
California,Jul 26 2020,140,N/A
California,Jul 25 2020,146,N/A
California,Jul 24 2020,147,N/A
California,Jul 23 2020,156,N/A
California,Jul 22 2020,116,N/A
California,Jul 21 2020,26,N/A
California,Jul 20 2020,31,N/A
California,Jul 19 2020,90,N/A
California,Jul 18 2020,121,N/A
California,Jul 17 2020,126,N/A
California,Jul 16 2020,119,N/A
California,Jul 15 2020,125,N/A
California,Jul 14 2020,25,N/A
California,Jul 13 2020,25,N/A
California,Jul 12 2020,97,N/A
California,Jul 11 2020,105,N/A
California,Jul 10 2020,166,N/A
California,Jul  9 2020,146,N/A
California,Jul  8 2020,113,N/A
California,Jul  7 2020,61,N/A
California,Jul  6 2020,36,N/A
California,Jul  5 2020,18,N/A
California,Jul  4 2020,63,N/A
California,Jul  3 2020,125,N/A
California,Jul  2 2020,81,N/A
California,Jul  1 2020,101,N/A
California,Jun 30 2020,27,N/A
California,Jun 29 2020,39,N/A
California,Jun 28 2020,25,N/A
California,Jun 27 2020,69,N/A
California,Jun 26 2020,114,N/A
California,Jun 25 2020,104,N/A
California,Jun 24 2020,54,N/A
California,Jun 23 2020,20,N/A
California,Jun 22 2020,23,N/A
California,Jun 21 2020,84,N/A
California,Jun 20 2020,68,N/A
California,Jun 19 2020,108,N/A
California,Jun 18 2020,78,N/A
California,Jun 17 2020,62,N/A
California,Jun 16 2020,22,N/A
California,Jun 15 2020,19,N/A
California,Jun 14 2020,82,N/A
California,Jun 13 2020,47,N/A
California,Jun 12 2020,63,N/A
California,Jun 11 2020,106,N/A
California,Jun 10 2020,104,N/A
California,Jun  9 2020,31,N/A
California,Jun  8 2020,27,N/A
California,Jun  7 2020,66,N/A
California,Jun  6 2020,67,N/A
California,Jun  5 2020,70,N/A
California,Jun  4 2020,67,N/A
California,Jun  3 2020,104,N/A
California,Jun  2 2020,47,N/A
California,Jun  1 2020,37,N/A
California,May 31 2020,58,N/A
California,May 30 2020,81,N/A
California,May 29 2020,88,N/A
California,May 28 2020,109,N/A
California,May 27 2020,28,N/A
